Document,0,1,2,3,4,5,6,7,8,9,10,11
40,0.02044,0.04375,0.33333,0.08439,0.02921,0.03936,0.1138,0.06793,0.07633,0.06179,0.09032,0.03936
41,0.92601,0.00522,0.00606,0.00624,0.00647,0.00735,0.00711,0.00593,0.00556,0.00911,0.00809,0.00685
42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.01967,0.02854,0.02887,0.06154,0.35241,0.11805,0.0288,0.03526,0.03362,0.03324,0.03475,0.15786
45,0.00148,0.00952,0.00648,0.01012,0.00372,0.00463,0.00584,0.00718,0.01903,0.00452,0.00575,0.00475
46,0.017,0.03884,0.05182,0.42353,0.04024,0.05965,0.04716,0.0925,0.0654,0.04515,0.05697,0.06173
47,0.01605,0.05047,0.06667,0.3791,0.03386,0.0441,0.05035,0.11106,0.1079,0.04056,0.05318,0.0467
48,0.0056,0.01174,0.01925,0.81809,0.01332,0.01846,0.01489,0.02793,0.01907,0.014,0.01722,0.02043
49,0.00938,0.03142,0.70966,0.03143,0.01317,0.01626,0.04277,0.02945,0.04959,0.02201,0.02846,0.01639
50,0.01136,0.02881,0.05271,0.5642,0.02496,0.03445,0.03803,0.08212,0.05168,0.03259,0.04262,0.03644
51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.01795,0.29404,0.08681,0.06902,0.03079,0.03647,0.06061,0.06523,0.20874,0.04152,0.05172,0.0371
53,0.92993,0.00498,0.00581,0.00595,0.00607,0.00694,0.00674,0.00573,0.00531,0.00849,0.0076,0.00644
54,0.01726,0.31834,0.07378,0.05512,0.02856,0.03314,0.05516,0.05216,0.11798,0.03882,0.04665,0.03347
55,0.01092,0.01411,0.01623,0.03646,0.04799,0.43093,0.01676,0.01962,0.01768,0.02097,0.02181,0.10283
56,0.00649,0.01299,0.03053,0.01735,0.00789,0.01054,0.80434,0.01726,0.01959,0.02348,0.03939,0.01016
57,0.01519,0.05351,0.50467,0.05871,0.02276,0.02769,0.06273,0.05361,0.09214,0.03511,0.04538,0.0285
58,0.01389,0.26755,0.06344,0.04849,0.02383,0.02777,0.04584,0.04479,0.11744,0.03205,0.03905,0.02827
59,0.71706,0.0181,0.02147,0.02173,0.02213,0.02528,0.02512,0.02096,0.01944,0.03196,0.02839,0.02362
60,0.00414,0.00921,0.01372,0.02716,0.00715,0.00919,0.01221,0.72393,0.01512,0.00986,0.01276,0.0093
61,0.01629,0.03972,0.26166,0.08341,0.0254,0.0346,0.09771,0.06711,0.06985,0.05568,0.08203,0.03441
62,0.01171,0.01485,0.01696,0.03706,0.05578,0.3043,0.01747,0.02045,0.01845,0.02181,0.02256,0.1123
63,0.00336,0.00769,0.00921,0.88883,0.00913,0.01363,0.00842,0.01447,0.01219,0.00838,0.01013,0.01455
64,0.01964,0.04348,0.35539,0.07194,0.02612,0.03455,0.13366,0.06719,0.07362,0.05732,0.08293,0.03417
65,0.80609,0.01394,0.01603,0.01647,0.01685,0.01916,0.01866,0.01583,0.01476,0.02341,0.021,0.01781
66,0.01736,0.26468,0.0817,0.05711,0.02845,0.03323,0.05862,0.05403,0.12915,0.03984,0.04844,0.03364
67,0.00419,0.89206,0.01232,0.01116,0.00675,0.00769,0.0106,0.00992,0.02001,0.00804,0.00946,0.00779
68,0.00167,0.00352,0.00734,0.00569,0.00247,0.00348,0.03016,0.00541,0.00527,0.01105,0.03146,0.0033
69,0.01519,0.03581,0.04721,0.4826,0.03705,0.05256,0.04097,0.08629,0.05997,0.03862,0.04814,0.0556
70,0.0051,0.00465,0.00698,0.00686,0.00485,0.00714,0.01162,0.00645,0.00585,0.09467,0.02398,0.00636
71,0.01518,0.04152,0.05217,0.4557,0.035,0.04755,0.04373,0.09475,0.07616,0.03858,0.04937,0.0503
72,0.73124,0.01857,0.02208,0.02249,0.02286,0.02637,0.02619,0.02157,0.02,0.03412,0.02997,0.02454
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,0.77245,0.01605,0.01883,0.0194,0.01989,0.02273,0.02173,0.01863,0.01719,0.02743,0.02457,0.02109
75,0.014,0.02616,0.0762,0.03571,0.01644,0.02145,0.60838,0.03589,0.0401,0.04161,0.06307,0.02101
76,0.77998,0.01549,0.01793,0.01862,0.01939,0.02194,0.02104,0.01773,0.0165,0.02695,0.02396,0.02047
77,0.02113,0.04578,0.28968,0.08373,0.0296,0.03984,0.13607,0.06999,0.08018,0.06553,0.0988,0.03966
78,0.01061,0.01427,0.01535,0.02975,0.17169,0.06587,0.01523,0.01745,0.01703,0.01789,0.01853,0.11328
79,0.01502,0.04574,0.40922,0.07165,0.02276,0.02956,0.10704,0.06981,0.08485,0.04674,0.0673,0.0296
80,0.00972,0.05973,0.05277,0.0816,0.02219,0.02795,0.04034,0.06026,0.2146,0.02969,0.03887,0.02895
81,0.01804,0.04353,0.39602,0.07241,0.02528,0.03327,0.1102,0.06599,0.07333,0.05373,0.0752,0.03301
82,0.01348,0.55579,0.05437,0.04594,0.02343,0.02683,0.04026,0.04295,0.10479,0.02935,0.03537,0.02743
83,0.01713,0.53548,0.05482,0.04735,0.02749,0.0315,0.04518,0.04323,0.09287,0.03333,0.03966,0.03197
84,0.85151,0.01067,0.01228,0.01262,0.01289,0.01467,0.01429,0.01213,0.0113,0.01793,0.01608,0.01363
85,0.5426,0.02037,0.02413,0.0245,0.02486,0.02849,0.02831,0.02367,0.02188,0.03613,0.03206,0.02656
86,0.00887,0.74287,0.03287,0.02644,0.01469,0.01659,0.02376,0.02453,0.05406,0.01753,0.02081,0.01698
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,0.8193,0.0127,0.0147,0.01537,0.01636,0.01834,0.01702,0.01444,0.01352,0.02173,0.01939,0.01714
89,0.01123,0.48478,0.05024,0.03787,0.01932,0.0221,0.0347,0.03524,0.08411,0.02485,0.02982,0.02259
90,0.00475,0.8678,0.01507,0.01433,0.0083,0.0092,0.01156,0.0128,0.02723,0.00889,0.01052,0.00954
91,0.00561,0.01202,0.01763,0.81591,0.01424,0.01998,0.01446,0.02759,0.01938,0.01391,0.01696,0.0223
92,0.01426,0.08742,0.16558,0.06426,0.02389,0.02927,0.06582,0.05958,0.18376,0.03804,0.04988,0.02978
93,0.0197,0.04464,0.32639,0.08047,0.02768,0.03714,0.12749,0.07113,0.07546,0.06257,0.09065,0.03666
94,0.01125,0.67814,0.03813,0.03413,0.01931,0.02181,0.03078,0.03047,0.06268,0.02354,0.02761,0.02215
95,0.01383,0.03063,0.56089,0.05859,0.01986,0.0262,0.0692,0.04829,0.05316,0.0388,0.05412,0.02642
96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.00776,0.04208,0.05373,0.03745,0.01282,0.01598,0.03106,0.03398,0.21721,0.019,0.02538,0.01627
98,0.01172,0.02728,0.63002,0.04737,0.01641,0.02133,0.06036,0.04215,0.0469,0.03159,0.04344,0.02143
99,0.94322,0.00401,0.00463,0.00482,0.0051,0.00571,0.00538,0.00454,0.00426,0.00685,0.00612,0.00535
100,0.014,0.04535,0.30921,0.08022,0.0227,0.02916,0.07662,0.07395,0.08957,0.04144,0.05778,0.02964
101,0.01786,0.42152,0.07409,0.057,0.0299,0.03446,0.0555,0.05412,0.12018,0.03971,0.04749,0.03486
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103,0.01452,0.04344,0.05933,0.40686,0.03312,0.04534,0.04826,0.1116,0.08382,0.04113,0.05399,0.04736
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,0.01599,0.23212,0.07614,0.05288,0.0262,0.03064,0.05432,0.05004,0.1206,0.03679,0.0448,0.03101
106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.01875,0.0421,0.40314,0.0706,0.02538,0.03344,0.1104,0.06412,0.07138,0.05293,0.07456,0.03319
108,0.01016,0.02799,0.64525,0.0442,0.01476,0.0191,0.05986,0.04107,0.0496,0.02886,0.04003,0.01913
109,0.01385,0.04989,0.54156,0.05386,0.02077,0.02532,0.0579,0.04939,0.08749,0.03219,0.04176,0.02602
110,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.00846,0.01229,0.01421,0.03149,0.06935,0.09989,0.014,0.01674,0.01553,0.01659,0.01745,0.65342
112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.01616,0.03545,0.49276,0.06288,0.02242,0.02954,0.08753,0.05397,0.06033,0.0456,0.06376,0.02958
114,0.01033,0.01881,0.04902,0.0298,0.01282,0.01747,0.48794,0.02893,0.02958,0.04199,0.07835,0.01685
115,0.0096,0.0174,0.04473,0.02763,0.01191,0.01626,0.45544,0.02684,0.0273,0.03948,0.07471,0.01567
116,0.00655,0.09184,0.03913,0.03394,0.01354,0.01606,0.02574,0.02962,0.13549,0.0181,0.02269,0.01656
117,0.01517,0.05303,0.44122,0.06974,0.02328,0.02927,0.0769,0.06559,0.10192,0.04013,0.05404,0.02971
118,0.01773,0.31554,0.08549,0.06719,0.03032,0.03581,0.05933,0.0635,0.19735,0.04073,0.05058,0.03644
119,0.79836,0.01435,0.01647,0.01711,0.01799,0.02022,0.01917,0.01619,0.0152,0.02433,0.02174,0.01888
120,0.00353,0.00886,0.01036,0.88117,0.00913,0.01282,0.00917,0.0173,0.01459,0.00873,0.01072,0.01363
121,0.73559,0.01842,0.02165,0.02229,0.02317,0.02637,0.02536,0.02116,0.01974,0.0327,0.02895,0.02459
122,0.7121,0.01813,0.02151,0.02176,0.02213,0.0253,0.02518,0.021,0.01947,0.03203,0.02845,0.02363
123,0.0173,0.43461,0.07013,0.05745,0.0286,0.03321,0.05078,0.05545,0.13872,0.03606,0.04394,0.03376
124,0.0182,0.05753,0.06421,0.33154,0.04133,0.05367,0.05274,0.10907,0.11231,0.04487,0.05735,0.05719
125,0.00438,0.01029,0.01608,0.03256,0.00755,0.0097,0.0135,0.81642,0.01773,0.01051,0.0138,0.00986
126,0.00636,0.01006,0.01143,0.02304,0.05167,0.07014,0.01122,0.01268,0.0124,0.01333,0.01393,0.10716
127,0.90268,0.0069,0.00805,0.00827,0.00845,0.00966,0.00934,0.00795,0.00736,0.01181,0.01056,0.00896
128,0.01205,0.6059,0.04953,0.04032,0.02027,0.02322,0.03454,0.03793,0.09754,0.02478,0.03006,0.02386
129,0.02049,0.04605,0.29717,0.08208,0.02854,0.03835,0.13742,0.07323,0.07747,0.0657,0.09572,0.03777
130,0.67195,0.01929,0.02285,0.02315,0.02358,0.02694,0.02674,0.02232,0.02071,0.03402,0.03023,0.02515
131,0.01537,0.04887,0.06218,0.32614,0.03501,0.04784,0.05155,0.10756,0.0984,0.04356,0.05737,0.04986
132,0.0089,0.01139,0.01319,0.02913,0.0391,0.47677,0.01361,0.01577,0.01427,0.0171,0.01775,0.08798
133,0.69819,0.02064,0.02477,0.02511,0.0253,0.02933,0.02968,0.02418,0.02233,0.03906,0.03409,0.02732
134,0.01009,0.031,0.0346,0.4812,0.02572,0.03503,0.02996,0.05884,0.05462,0.02719,0.03414,0.03693
135,0.01061,0.01557,0.01876,0.04418,0.06265,0.18535,0.01853,0.02209,0.02023,0.02222,0.02361,0.36197
136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.00928,0.02173,0.70652,0.03948,0.01349,0.01758,0.04416,0.03251,0.03801,0.02507,0.03436,0.01781
138,0.77632,0.01534,0.01853,0.01863,0.01865,0.0216,0.02209,0.01808,0.01664,0.02876,0.0252,0.02016
139,0.0165,0.02324,0.0242,0.04988,0.42197,0.09967,0.02384,0.029,0.02751,0.02753,0.0287,0.14687
140,0.01241,0.03158,0.05362,0.4717,0.02884,0.0401,0.03986,0.07862,0.0558,0.03517,0.04532,0.04318
141,0.01,0.01835,0.05018,0.02782,0.01216,0.01628,0.51432,0.02753,0.02844,0.03757,0.06343,0.0158
142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.89904,0.00702,0.00838,0.00846,0.00859,0.00983,0.00988,0.00818,0.00757,0.01266,0.01119,0.0092
144,0.01623,0.05141,0.06678,0.37201,0.0343,0.04464,0.05079,0.11196,0.11008,0.04094,0.05363,0.04725
145,0.01773,0.4182,0.07203,0.05901,0.02929,0.03412,0.05231,0.05675,0.14358,0.03709,0.04525,0.03464
146,0.01738,0.07347,0.37822,0.06682,0.02597,0.03193,0.07561,0.06347,0.13934,0.04117,0.05416,0.03246
147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.85768,0.01018,0.01176,0.01211,0.01241,0.01415,0.01363,0.01162,0.01081,0.01714,0.01538,0.01313
149,0.02139,0.03096,0.0311,0.06588,0.39107,0.11976,0.03101,0.03791,0.03632,0.03569,0.03733,0.16157
150,0.74443,0.018,0.02116,0.02171,0.02216,0.02538,0.02455,0.02089,0.01929,0.0311,0.02778,0.02355
151,0.01151,0.02945,0.03446,0.31615,0.03019,0.04627,0.03285,0.05567,0.04779,0.03259,0.04019,0.04681
152,0.01696,0.54222,0.05445,0.04679,0.02744,0.03131,0.04409,0.04229,0.09101,0.03274,0.03885,0.03185
153,0.01217,0.61881,0.04576,0.03974,0.02083,0.02368,0.03356,0.03705,0.0896,0.02473,0.02975,0.02433
154,0.01676,0.04275,0.05682,0.3989,0.03745,0.05225,0.04932,0.11358,0.077,0.04398,0.05686,0.05433
155,0.01867,0.04203,0.40023,0.07094,0.0253,0.03339,0.1118,0.06464,0.07164,0.05304,0.07521,0.03312
156,0.01304,0.05012,0.56008,0.04877,0.01926,0.02362,0.05672,0.04556,0.08823,0.0306,0.03993,0.02406
157,0.0106,0.01344,0.01532,0.0335,0.05164,0.22829,0.01575,0.01854,0.01668,0.01962,0.02029,0.10147
158,0.01801,0.04173,0.05781,0.37632,0.04121,0.05885,0.05077,0.11611,0.07101,0.04721,0.05993,0.06105
159,0.00847,0.01927,0.02981,0.06462,0.01471,0.01928,0.02648,0.34013,0.03332,0.02099,0.02788,0.0195
160,0.01438,0.36863,0.06481,0.05065,0.02556,0.02933,0.04468,0.04524,0.11693,0.03232,0.03894,0.03011
161,0.01613,0.04152,0.0564,0.26936,0.03675,0.05265,0.05148,0.12476,0.07193,0.04714,0.06109,0.05345
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
163,0.76377,0.01626,0.01953,0.01971,0.01985,0.02291,0.02324,0.01907,0.01759,0.03019,0.0265,0.02139
164,0.00171,0.00433,0.01648,0.00716,0.00267,0.0036,0.02606,0.00676,0.00715,0.00736,0.01174,0.00352
165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.00474,0.00611,0.00644,0.01198,0.88254,0.02233,0.00632,0.00756,0.00711,0.00733,0.00754,0.02999
167,0.72892,0.01871,0.02232,0.02267,0.02299,0.02656,0.02647,0.02177,0.02017,0.03446,0.03027,0.0247
168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.71586,0.01947,0.02332,0.02368,0.0239,0.02767,0.02788,0.02279,0.02105,0.03661,0.032,0.02578
170,0.00978,0.03223,0.11053,0.06426,0.01743,0.02306,0.0761,0.06916,0.06181,0.03743,0.05653,0.023
171,0.00734,0.00982,0.01009,0.01919,0.78395,0.03665,0.01,0.01189,0.01137,0.01159,0.01195,0.04897
172,0.80232,0.01406,0.01616,0.01677,0.01762,0.01979,0.01881,0.01588,0.0149,0.02386,0.02132,0.0185
173,0.00712,0.01129,0.01276,0.02554,0.0732,0.07269,0.01244,0.01423,0.01389,0.01464,0.0153,0.14364
174,0.0119,0.0405,0.61896,0.04466,0.01745,0.02132,0.05058,0.04161,0.06806,0.02754,0.0356,0.02182
175,0.01454,0.04329,0.45884,0.07134,0.02192,0.02834,0.08296,0.06749,0.08293,0.04145,0.05838,0.02853
176,0.01247,0.01603,0.0184,0.04116,0.05786,0.36803,0.01892,0.02233,0.02005,0.02356,0.02447,0.12168
177,0.0207,0.41434,0.06729,0.06072,0.03403,0.03908,0.0551,0.05519,0.12426,0.04074,0.04881,0.03975
178,0.01641,0.08436,0.20831,0.07377,0.02675,0.03342,0.086,0.06963,0.18403,0.04586,0.06179,0.0337
179,0.70542,0.021,0.02413,0.02503,0.02617,0.02949,0.02804,0.02378,0.02226,0.03547,0.03174,0.02749
180,0.76537,0.01646,0.01917,0.01982,0.02053,0.02331,0.02253,0.0189,0.01757,0.02893,0.02566,0.02175
181,0.0015,0.00479,0.00846,0.03076,0.00418,0.00547,0.00585,0.00982,0.00844,0.005,0.00635,0.00606
182,0.86404,0.00942,0.01129,0.01137,0.01149,0.0132,0.01335,0.01101,0.01017,0.01717,0.01515,0.01234
183,0.00483,0.01538,0.85627,0.01568,0.00672,0.00826,0.0212,0.01459,0.02334,0.01114,0.01423,0.00834
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
185,0.82031,0.01261,0.01462,0.01528,0.01625,0.01823,0.01693,0.01436,0.01344,0.02163,0.0193,0.01703
186,0.00998,0.02999,0.046,0.16651,0.02392,0.03486,0.04051,0.08004,0.05564,0.03532,0.04818,0.0354
187,0.01979,0.02776,0.02788,0.05704,0.46647,0.10493,0.02791,0.03382,0.03231,0.03228,0.03356,0.13625
188,0.01449,0.42731,0.05835,0.0468,0.02469,0.02826,0.04382,0.04447,0.09747,0.0319,0.03803,0.02864
189,0.00981,0.01298,0.01544,0.03654,0.03826,0.32355,0.01589,0.0188,0.0167,0.01987,0.02092,0.09041
190,0.01827,0.02627,0.0269,0.05699,0.34293,0.11222,0.0267,0.03265,0.03105,0.03084,0.03223,0.15572
191,0.01089,0.0277,0.0347,0.62422,0.02665,0.03679,0.02958,0.06142,0.04751,0.02725,0.03409,0.0392
192,0.86206,0.00976,0.01125,0.01168,0.01227,0.01382,0.01314,0.01105,0.01036,0.01677,0.01494,0.0129
193,0.0118,0.34629,0.05798,0.04226,0.02024,0.02336,0.03819,0.04018,0.10286,0.02665,0.0324,0.02388
194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.00511,0.01176,0.01782,0.03271,0.00866,0.01102,0.01533,0.68111,0.01943,0.01204,0.01559,0.01116
196,0.00175,0.95529,0.00498,0.00467,0.00282,0.00323,0.00441,0.00412,0.00816,0.00337,0.00396,0.00326
197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.95594,0.00314,0.00365,0.00375,0.00383,0.00437,0.00423,0.0036,0.00334,0.00532,0.00477,0.00406
199,0.81098,0.01327,0.0157,0.01612,0.01662,0.01892,0.01802,0.01547,0.01427,0.02269,0.02034,0.0176
200,0.65396,0.02235,0.02575,0.0266,0.02749,0.03121,0.02999,0.02539,0.02371,0.03796,0.03394,0.02901
201,0.00548,0.00699,0.00828,0.01829,0.02188,0.61047,0.00855,0.00983,0.00886,0.01083,0.01126,0.04984
202,0.90844,0.00648,0.00753,0.00773,0.00812,0.0091,0.00877,0.00733,0.0069,0.01112,0.00992,0.00855
203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.00701,0.0163,0.02563,0.05398,0.01216,0.01571,0.02168,0.67314,0.02818,0.01698,0.02236,0.01596
205,0.00767,0.04154,0.05441,0.03702,0.01269,0.01578,0.03064,0.033,0.22199,0.01874,0.02502,0.01612
206,0.01601,0.4548,0.07043,0.05555,0.02709,0.03135,0.04959,0.05392,0.13165,0.03511,0.04264,0.03187
207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0.01585,0.04091,0.0557,0.25579,0.03593,0.05135,0.0508,0.12502,0.07103,0.04634,0.06016,0.05211
209,0.01259,0.02967,0.59639,0.05188,0.0177,0.02306,0.066,0.04626,0.05166,0.03421,0.04743,0.02315
210,0.00928,0.03199,0.69592,0.03545,0.01366,0.01679,0.04069,0.03277,0.0559,0.02186,0.02854,0.01714
211,0.92691,0.00518,0.00598,0.00619,0.0065,0.00731,0.00697,0.00585,0.0055,0.00888,0.00792,0.00683
212,0.01084,0.01456,0.01559,0.02951,0.22544,0.06248,0.01528,0.01763,0.01722,0.0178,0.01842,0.0989
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,0.00994,0.61504,0.03968,0.03369,0.01793,0.0201,0.02853,0.03084,0.06911,0.02145,0.02543,0.02067
215,0.01632,0.56625,0.05129,0.04431,0.02613,0.02981,0.04221,0.04042,0.0845,0.03137,0.03715,0.03025
216,0.80899,0.0134,0.01555,0.01618,0.01704,0.01926,0.01812,0.01526,0.01428,0.02327,0.02069,0.01795
217,0.0082,0.74282,0.03166,0.02691,0.01406,0.0159,0.02246,0.02505,0.06015,0.01654,0.01986,0.01639
218,0.01657,0.28573,0.08049,0.05631,0.02751,0.03211,0.05599,0.05318,0.13295,0.03809,0.04646,0.03259
219,0.96442,0.00254,0.00295,0.00302,0.00309,0.00352,0.00342,0.00291,0.0027,0.00429,0.00385,0.00327
220,0.00665,0.00883,0.0091,0.01723,0.8011,0.03306,0.00902,0.01071,0.01022,0.01047,0.01079,0.04399
221,0.01301,0.04978,0.05193,0.17576,0.03008,0.03897,0.04221,0.07974,0.10581,0.03484,0.04486,0.04118
222,0.6915,0.0211,0.0253,0.02566,0.02585,0.02999,0.03033,0.0247,0.02282,0.03996,0.03486,0.02793
223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,0.01964,0.02773,0.02799,0.05778,0.45973,0.10625,0.0279,0.034,0.0324,0.03221,0.03354,0.14084
225,0.71511,0.01975,0.02313,0.02386,0.02461,0.02834,0.02748,0.02256,0.02112,0.03608,0.03166,0.02628
226,0.93264,0.00479,0.00558,0.00572,0.00583,0.00666,0.00649,0.00551,0.00511,0.00817,0.00731,0.00618
227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,0.0088,0.02668,0.03879,0.64845,0.01984,0.02603,0.02874,0.0681,0.05179,0.02385,0.03103,0.02789
229,0.00976,0.01328,0.01553,0.03792,0.03855,0.2803,0.01602,0.01898,0.01706,0.01988,0.02105,0.09444
230,0.01008,0.1308,0.06253,0.05352,0.02091,0.02495,0.04087,0.04656,0.23143,0.02842,0.03582,0.02569
231,0.00782,0.04195,0.05413,0.03871,0.01303,0.01623,0.03109,0.0344,0.26364,0.01916,0.02561,0.01658
