Topic,Words
Topic 22,"please: 0.0599, thank: 0.05965, mail: 0.058, email: 0.05549, mailing: 0.04338, send: 0.03732, list: 0.03016, anyone: 0.0284, advance: 0.02719, newsgroup: 0.02653"
Topic 23,"galaxy: 0.02539, orbit: 0.02478, distance: 0.02454, oort: 0.02437, gamma: 0.02295, comet: 0.0222, star: 0.02112, galactic: 0.02052, cloud: 0.0199, solar: 0.01984"
Topic 24,"firearm: 0.01911, weapon: 0.01751, government: 0.01432, crime: 0.01393, amendment: 0.0131, right: 0.0125, criminal: 0.01135, citizen: 0.01126, civil: 0.01092, people: 0.00875"
Topic 25,"motherboard: 0.04791, board: 0.0269, chip: 0.02449, price: 0.0196, thank: 0.01952, coprocessor: 0.01745, computer: 0.01534, upgrade: 0.01505, slot: 0.01503, system: 0.01474"
Topic 26,"weapon: 0.03814, firearm: 0.02547, police: 0.01874, shoot: 0.01644, handgun: 0.01552, conceal: 0.01472, shotgun: 0.01448, revolver: 0.01427, glock: 0.01339, carry: 0.01315"
Topic 27,"email: 0.04877, thank: 0.04649, mail: 0.04444, please: 0.04211, window: 0.03973, file: 0.0352, advance: 0.02901, program: 0.02831, post: 0.01978, shareware: 0.01951"
Topic 28,"orbit: 0.02713, shuttle: 0.02409, mission: 0.02016, solar: 0.01685, launch: 0.01603, fuel: 0.0152, space: 0.01503, payload: 0.01364, satellite: 0.01357, orbital: 0.01318"
Topic 29,"homosexual: 0.06398, heterosexual: 0.04281, sexual: 0.0395, male: 0.0312, survey: 0.03012, partner: 0.02991, cramer: 0.02663, study: 0.02112, kinsey: 0.02097, straight: 0.02068"
Topic 30,"suno: 0.03755, server: 0.03311, error: 0.03278, running: 0.03063, problem: 0.0291, client: 0.0285, login: 0.02636, host: 0.0244, window: 0.0238, patch: 0.02192"
Topic 31,"modem: 0.11323, baud: 0.03842, serial: 0.03397, port: 0.02956, internal: 0.02514, external: 0.02342, software: 0.01686, connect: 0.01605, compression: 0.01576, problem: 0.01469"
Topic 32,"bedroom: 0.02892, area: 0.02439, kitchen: 0.02425, room: 0.02188, parking: 0.01745, dryer: 0.01706, bath: 0.0164, road: 0.01609, ceiling: 0.01526, canada: 0.01517"
Topic 33,"turkish: 0.01226, serdar: 0.01199, armenian: 0.01099, turk: 0.01015, genocide: 0.00884, massacre: 0.0087, muslim: 0.00843, armenia: 0.0082, ottoman: 0.00731, village: 0.00705"
Topic 34,"polygon: 0.04857, algorithm: 0.04727, surface: 0.03883, intersection: 0.03807, line: 0.03074, plane: 0.02882, circle: 0.02505, point: 0.02503, sphere: 0.02327, parametric: 0.02108"
Topic 35,"amendment: 0.02885, constitution: 0.02653, militia: 0.02044, freedom: 0.01728, right: 0.01629, protect: 0.01469, government: 0.01379, free: 0.01352, state: 0.01259, bear: 0.01178"
Topic 36,"phone: 0.0932, number: 0.06562, dial: 0.05423, dialing: 0.05271, tone: 0.04508, swedish: 0.03492, telephone: 0.02873, wall: 0.02708, sweden: 0.0263, call: 0.02617"
Topic 37,"rider: 0.09532, harley: 0.08901, bike: 0.06747, biker: 0.05236, motorcycle: 0.04974, wave: 0.04461, riding: 0.03737, moto: 0.03444, ride: 0.0341, waving: 0.034"
Topic 38,"post: 0.0312, posting: 0.01787, game: 0.0131, mail: 0.01209, letter: 0.01167, group: 0.01154, response: 0.01141, poster: 0.01133, content: 0.01092, agree: 0.01082"
Topic 39,"file: 0.01867, program: 0.01787, code: 0.01735, window: 0.0161, motif: 0.01581, application: 0.01575, avail: 0.01497, draw: 0.01309, library: 0.0129, graphic: 0.01143"
Topic 40,"firearm: 0.00893, police: 0.00643, crime: 0.00634, criminal: 0.00599, defense: 0.00559, illegal: 0.00536, weapon: 0.00526, handgun: 0.0052, agent: 0.00515, attorney: 0.00501"
Topic 41,"islamic: 0.0566, islam: 0.05422, muslim: 0.03553, bcci: 0.02612, fatwa: 0.02501, khomeini: 0.02324, rushdie: 0.02285, quran: 0.01578, bank: 0.01379, imam: 0.01235"
Topic 42,"shipping: 0.14417, sale: 0.1001, offer: 0.07453, interest: 0.07171, please: 0.06947, buyer: 0.06213, sell: 0.05954, mail: 0.0539, contact: 0.05372, selling: 0.03897"
Topic 43,"kent: 0.27522, cheer: 0.24481, jesu: 0.04663, notion: 0.03379, label: 0.03309, secular: 0.02977, humanism: 0.02692, cult: 0.02545, malcolm: 0.02334, religion: 0.0226"
Topic 44,"radar: 0.06352, detector: 0.05129, traffic: 0.01799, signal: 0.01631, valentine: 0.01604, bogey: 0.01572, radio: 0.01471, approaching: 0.01442, driver: 0.01428, alarm: 0.01347"
Topic 45,"kill: 0.0269, punishment: 0.02675, death: 0.0233, killing: 0.02246, penalty: 0.0222, cruel: 0.02032, life: 0.01773, innocent: 0.0176, person: 0.01728, people: 0.01616"
Topic 46,"encryption: 0.01167, encrypt: 0.01138, secure: 0.01113, security: 0.01086, cryptography: 0.01048, algorithm: 0.01028, secret: 0.01023, escrow: 0.00902, clipper: 0.00868, agency: 0.00748"
Topic 47,"david: 0.27698, feustel: 0.1383, dave: 0.10875, netcom: 0.10172, koresh: 0.09887, boulder: 0.04863, israel: 0.04373, nonsense: 0.04103, wood: 0.03837, davidian: 0.03812"
Topic 48,"battery: 0.05368, concrete: 0.04729, heat: 0.04333, temperature: 0.04238, discharge: 0.04114, floor: 0.03738, acid: 0.03736, cooling: 0.03706, water: 0.03617, turbine: 0.03036"
Topic 49,"image: 0.04354, graphic: 0.03611, fractal: 0.03327, animation: 0.03243, advance: 0.0277, looking: 0.02341, format: 0.02249, thank: 0.02141, book: 0.02137, help: 0.0204"
Topic 50,"bike: 0.12899, motorcycle: 0.05547, honda: 0.05155, buying: 0.04858, yamaha: 0.03705, considering: 0.02975, first: 0.02824, thank: 0.02814, racing: 0.02721, ascot: 0.02664"
Topic 51,"bike: 0.02219, biker: 0.01968, ride: 0.01495, wheel: 0.01369, chasing: 0.01237, road: 0.01236, riding: 0.01229, motorcycle: 0.01227, kill: 0.01195, squid: 0.01164"
Topic 52,"paint: 0.11174, rust: 0.03229, polish: 0.03059, remove: 0.03049, coat: 0.02915, liquid: 0.02837, buff: 0.02747, bike: 0.02617, finish: 0.02565, black: 0.02464"
Topic 53,"comic: 0.02947, marvel: 0.02621, hulk: 0.0248, avenger: 0.02458, surfer: 0.02437, mutant: 0.02398, bagg: 0.0237, wolverine: 0.02259, silver: 0.02175, shatterstar: 0.02123"
Topic 54,"chastity: 0.20944, cadre: 0.20944, pitt: 0.20694, intellect: 0.20554, skepticism: 0.20554, shameful: 0.20501, gordon: 0.20129, surrender: 0.18959, bank: 0.17369, soon: 0.131"
Topic 55,"bush: 0.08456, clinton: 0.07569, senate: 0.05219, democrat: 0.03607, republican: 0.03378, house: 0.03177, president: 0.02829, quayle: 0.02769, gore: 0.02373, havemann: 0.021"
Topic 56,"memory: 0.1083, window: 0.04575, running: 0.04415, swap: 0.04126, file: 0.02827, free: 0.0275, virtual: 0.02669, permanent: 0.02513, manager: 0.02408, application: 0.02325"
Topic 57,"article: 0.30891, quoting: 0.081, buggy: 0.06769, read: 0.06216, virginia: 0.04938, minerva: 0.04566, azure: 0.04566, bertrand: 0.04566, amanda: 0.04342, gronk: 0.04342"
Topic 58,"product: 0.01705, computer: 0.0149, market: 0.01391, marketing: 0.0135, development: 0.01182, user: 0.01161, technical: 0.01148, make: 0.01143, productive: 0.01135, symbolize: 0.01128"
Topic 59,"ticket: 0.0727, hotel: 0.05953, airfare: 0.05761, airline: 0.04986, voucher: 0.04687, transfer: 0.04342, orlando: 0.04274, cancun: 0.04205, bahama: 0.03968, trip: 0.03907"
Topic 60,"honda: 0.06624, cassette: 0.06067, mile: 0.05864, toyota: 0.0447, door: 0.04187, accord: 0.04019, stereo: 0.03992, camry: 0.03607, excellent: 0.03482, condition: 0.03391"
Topic 61,"medicine: 0.00657, medical: 0.00584, clinical: 0.00569, health: 0.00549, physician: 0.00529, treatment: 0.00484, nutrition: 0.00481, prevention: 0.0047, disease: 0.00466, patient: 0.00461"
Topic 62,"sent: 0.03575, mail: 0.02806, phone: 0.02798, return: 0.02254, number: 0.0197, payment: 0.01763, order: 0.01756, send: 0.01676, deal: 0.01617, shipping: 0.01563"
Topic 63,"graphic: 0.0265, computer: 0.02202, software: 0.02039, workstation: 0.01955, simulation: 0.01928, research: 0.01921, contact: 0.01897, unix: 0.01895, application: 0.0177, science: 0.01759"
Topic 64,"love: 0.03602, postage: 0.03039, sale: 0.0269, freddie: 0.02491, music: 0.02403, dance: 0.02383, kenny: 0.02256, bobby: 0.02101, girl: 0.0201, tape: 0.01913"
Topic 65,"karla: 0.0452, heard: 0.0414, name: 0.0377, confirm: 0.03651, smiley: 0.03228, financial: 0.02825, true: 0.0259, maken: 0.02467, meer: 0.02467, parm: 0.02467"
Topic 66,"email: 0.06552, mail: 0.04949, mirror: 0.04068, thank: 0.03745, send: 0.03548, please: 0.03189, anyone: 0.02908, post: 0.02643, appreciate: 0.02465, beta: 0.02258"
Topic 67,"condition: 0.04345, sale: 0.03758, strap: 0.03285, size: 0.03267, nikon: 0.02881, frame: 0.0278, chair: 0.02767, drawer: 0.02482, camera: 0.02427, excellent: 0.02317"
Topic 68,"part: 0.38828, nahf: 0.3563, mtct: 0.27737, chod: 0.26722, shod: 0.25935, nazz: 0.19445, chori: 0.19445, nair: 0.19445, tewa: 0.19445, alho: 0.18492"
Topic 69,"wate: 0.08091, newsgroup: 0.07983, convenience: 0.06144, forum: 0.05786, split: 0.05478, graphic: 0.05341, propos: 0.05213, aspect: 0.05055, discussing: 0.04992, awful: 0.04928"
Topic 70,"simm: 0.04112, card: 0.03901, slot: 0.03372, controller: 0.03368, memory: 0.03148, dram: 0.02987, cache: 0.02885, faster: 0.02309, viper: 0.02304, disk: 0.0223"
Topic 71,"russian: 0.07378, kaliningrad: 0.02946, mann: 0.02868, moscow: 0.02723, larrison: 0.02677, soviet: 0.02539, launch: 0.02422, leonov: 0.02144, spacewalk: 0.01784, facility: 0.01775"
Topic 72,"tape: 0.06863, condition: 0.04384, price: 0.04345, sell: 0.04342, sound: 0.03736, salon: 0.03723, duster: 0.03723, decker: 0.03723, sunbeam: 0.03723, silex: 0.03723"
Topic 73,"government: 0.01997, socialism: 0.01724, revolution: 0.01612, political: 0.01339, colonie: 0.01293, libertarian: 0.0129, pavarotti: 0.0114, rich: 0.01139, state: 0.01122, constitution: 0.01103"
Topic 74,"congres: 0.01675, committee: 0.01474, president: 0.01459, washington: 0.01435, executive: 0.01394, release: 0.01377, pres: 0.01315, state: 0.01309, april: 0.01292, secretary: 0.01279"
Topic 75,"speech: 0.03713, modem: 0.03404, compression: 0.03146, isdn: 0.03061, voice: 0.02981, bandwidth: 0.02359, blaster: 0.02276, digital: 0.02236, quality: 0.02076, encrypt: 0.02063"
Topic 76,"secretary: 0.00506, political: 0.00479, congres: 0.00476, president: 0.00444, briefing: 0.00441, toward: 0.00432, meet: 0.00427, april: 0.00419, meeting: 0.00418, policy: 0.00416"
Topic 77,"court: 0.06288, wiretap: 0.05333, attorney: 0.03868, order: 0.02912, police: 0.02804, crime: 0.02764, legal: 0.02632, warrant: 0.02595, subpoena: 0.02385, permission: 0.02222"
Topic 78,"cica: 0.20048, indiana: 0.10943, winzip: 0.0624, program: 0.06216, pkzip: 0.05407, directory: 0.0488, util: 0.0461, register: 0.04217, upload: 0.0418, unzip: 0.04038"
Topic 79,"linux: 0.0351, unix: 0.02425, system: 0.0203, feature: 0.01994, athena: 0.0185, either: 0.01753, software: 0.01739, avail: 0.01599, widget: 0.01501, operating: 0.01443"
Topic 80,"canada: 0.03596, health: 0.03523, insurance: 0.03431, care: 0.02541, canadian: 0.02302, private: 0.02005, doctor: 0.01671, malpractice: 0.01603, fund: 0.0151, american: 0.01452"
Topic 81,"amiga: 0.11023, graphic: 0.03061, video: 0.02694, animation: 0.0216, avid: 0.02129, ntsc: 0.01848, monitor: 0.01841, color: 0.01749, atari: 0.01731, chip: 0.0167"
Topic 82,"queer: 0.02069, closet: 0.01884, watching: 0.01768, march: 0.01675, night: 0.01631, washington: 0.0152, colorado: 0.0141, boycott: 0.01406, band: 0.01395, million: 0.01394"
Topic 83,"mile: 0.09582, kawasaki: 0.06483, sale: 0.05751, honda: 0.04723, condition: 0.04534, bike: 0.04308, excellent: 0.03547, beemer: 0.03475, trailer: 0.03298, asking: 0.03245"
Topic 84,"disk: 0.0507, backup: 0.03434, copy: 0.02675, reinstall: 0.02273, madsen: 0.02225, pirate: 0.0204, install: 0.02034, hard: 0.01987, utility: 0.01703, complete: 0.01662"
Topic 85,"chastity: 0.16165, cadre: 0.16165, intellect: 0.15864, skepticism: 0.15864, pitt: 0.15862, shameful: 0.15823, surrender: 0.14633, gordon: 0.14465, bank: 0.12481, soon: 0.10111"
Topic 86,"number: 0.18673, infomation: 0.11305, serial: 0.10633, cypher: 0.09723, registering: 0.08659, owning: 0.08554, shearson: 0.08317, metzger: 0.08274, perry: 0.07654, transmit: 0.07493"
Topic 87,"pentium: 0.06676, risc: 0.05159, clock: 0.05138, performance: 0.04947, processor: 0.04566, powerpc: 0.04482, instruction: 0.04391, cisc: 0.03999, architecture: 0.03738, computer: 0.03577"
Topic 88,"constitution: 0.00831, amendment: 0.00753, civil: 0.00673, security: 0.0067, federal: 0.00638, court: 0.00621, anything: 0.00591, government: 0.00566, behind: 0.00556, congres: 0.00541"
Topic 89,"proceeding: 0.02519, attendee: 0.0249, acceptance: 0.02483, lipman: 0.02396, consortium: 0.02318, tuesday: 0.02294, paper: 0.02144, submission: 0.02105, carderock: 0.02061, sponsoring: 0.02029"
Topic 90,"sumgait: 0.00865, deposition: 0.00813, yelena: 0.00813, bonner: 0.00802, aristide: 0.00775, pogrom: 0.00752, azerbaijani: 0.00727, shout: 0.00724, apartment: 0.00717, baku: 0.00698"
Topic 91,"warrant: 0.26308, batf: 0.18577, search: 0.14224, arrest: 0.12748, illegal: 0.12121, unseal: 0.11476, knock: 0.0944, helicopter: 0.06247, grenade: 0.05657, reno: 0.05439"
Topic 92,"deficit: 0.04961, debt: 0.04895, bush: 0.04116, reagan: 0.03969, congres: 0.03688, income: 0.02821, borrowing: 0.02778, federal: 0.0261, government: 0.02526, mortgage: 0.02516"
Topic 93,"message: 0.0281, tene: 0.02579, mail: 0.02489, mailing: 0.0242, motif: 0.02398, question: 0.02364, cose: 0.02293, subscribe: 0.0217, bitnet: 0.0214, announcement: 0.02025"
Topic 94,"shafer: 0.21501, dryden: 0.2116, insisting: 0.20557, mary: 0.16246, ball: 0.14078, safety: 0.14027, nasa: 0.13719, perfect: 0.11829, live: 0.09539, world: 0.08257"
Topic 95,"flame: 0.13082, bait: 0.10846, fire: 0.08132, pipe: 0.06226, splashing: 0.05437, backfire: 0.04981, butane: 0.04981, firebomb: 0.04834, inhale: 0.04834, extinguisher: 0.04834"
Topic 96,"tape: 0.08381, scsi: 0.0775, drive: 0.06042, munroe: 0.05836, doyle: 0.05321, backup: 0.05264, acorn: 0.04942, exabyte: 0.04807, controller: 0.04311, consultant: 0.04207"
Topic 97,"pica: 0.35505, army: 0.24805, bloodstream: 0.04415, vmax: 0.04254, testosterone: 0.04128, municipality: 0.04128, hate: 0.03954, funnel: 0.03939, grunt: 0.03864, alcoholic: 0.03798"
Topic 98,"receiver: 0.04373, wave: 0.04042, acceleration: 0.03888, quadrant: 0.03649, determine: 0.03551, measure: 0.03537, sensor: 0.03497, emitting: 0.03454, accuracy: 0.03442, signal: 0.03369"
Topic 99,"bobbe: 0.30145, bronx: 0.29754, sank: 0.29569, manhattan: 0.28732, blew: 0.26704, queen: 0.26498, vice: 0.2239, stay: 0.16899, away: 0.12484, mutton: 0.03641"
Topic 100,"disk: 0.05241, norton: 0.04873, drive: 0.04323, file: 0.03721, annoyance: 0.02927, crash: 0.02803, backup: 0.02762, problem: 0.02588, window: 0.0254, restart: 0.02421"
Topic 101,"arab: 0.01162, israeli: 0.01062, israel: 0.0106, village: 0.00945, minister: 0.00828, meir: 0.0082, knesset: 0.00805, country: 0.00771, land: 0.00759, diary: 0.00739"
Topic 102,"sarcasm: 0.22726, jennifer: 0.17081, irony: 0.17072, humor: 0.136, thrown: 0.11744, loop: 0.11641, possibility: 0.10038, aware: 0.095, assume: 0.08844, private: 0.0857"
Topic 103,"petrucci: 0.1125, chopin: 0.1073, mandell: 0.09643, holt: 0.09331, chemistry: 0.09265, graham: 0.08752, fortran: 0.08666, paperback: 0.07841, handbook: 0.07, copyright: 0.06913"
Topic 104,"sale: 0.08603, madonna: 0.08117, immaculate: 0.07214, achtung: 0.06719, chilli: 0.06719, cher: 0.06719, garth: 0.05974, email: 0.05855, contact: 0.05771, chime: 0.05497"
Topic 105,"license: 0.05583, state: 0.05139, driver: 0.04833, california: 0.03838, parking: 0.03633, resident: 0.03357, road: 0.0335, plate: 0.03123, actual: 0.0277, perusal: 0.02733"
Topic 106,"problem: 0.03606, hang: 0.03457, sleep: 0.03386, beep: 0.03123, reboot: 0.02828, obscure: 0.02802, startup: 0.02577, unusual: 0.02472, error: 0.02355, crash: 0.02315"
Topic 107,"abortion: 0.11994, abstinence: 0.09684, pregnancy: 0.05819, education: 0.05249, birth: 0.04726, article: 0.03148, school: 0.03124, rate: 0.03052, liberal: 0.02886, fluctuate: 0.02792"
Topic 108,"swerve: 0.05177, riding: 0.04204, steer: 0.03899, rider: 0.03829, biker: 0.03365, formal: 0.03226, technique: 0.03149, bicycle: 0.02965, taught: 0.02958, teach: 0.02926"
Topic 109,"libertarian: 0.02616, government: 0.02492, market: 0.0226, welfare: 0.02257, income: 0.02087, economy: 0.01899, regulation: 0.01899, people: 0.01607, federal: 0.01448, state: 0.01422"
Topic 110,"prefix: 0.03446, input: 0.03352, command: 0.0306, function: 0.03022, executing: 0.02884, illustrate: 0.02749, typing: 0.02463, window: 0.02403, void: 0.02402, event: 0.02187"
Topic 111,"breathing: 0.07847, flotation: 0.07582, dive: 0.0562, diving: 0.05568, lung: 0.05042, sustain: 0.04772, pilot: 0.04499, breather: 0.03791, buoyancy: 0.03791, barnyard: 0.03791"
Topic 112,"video: 0.13722, composite: 0.05563, monitor: 0.0469, board: 0.04494, headland: 0.04419, novy: 0.04419, connectix: 0.04203, upgrade: 0.03961, vert: 0.0393, anyone: 0.03916"
