Topic,Words
Topic 20,"armenian: 0.03573, turkish: 0.03082, armenia: 0.02437, turkey: 0.02422, serdar: 0.02404, turk: 0.02338, genocide: 0.01878, muslim: 0.01476, greek: 0.01322, million: 0.0127"
Topic 21,"amendment: 0.01975, government: 0.01643, firearm: 0.01403, constitution: 0.01383, right: 0.01335, militia: 0.01158, protect: 0.01146, citizen: 0.01077, crime: 0.01065, freedom: 0.01043"
Topic 22,"fire: 0.03217, compound: 0.02239, survivor: 0.01999, evidence: 0.01704, koresh: 0.01332, batf: 0.01326, wound: 0.01292, trial: 0.01287, start: 0.01261, flame: 0.01184"
Topic 23,"encryption: 0.03162, algorithm: 0.0232, chip: 0.02169, plaintext: 0.02154, encrypt: 0.0213, security: 0.02058, clipper: 0.01915, attack: 0.01765, secret: 0.01679, message: 0.01461"
Topic 24,"format: 0.0946, convert: 0.07386, file: 0.07366, image: 0.04314, postscript: 0.04227, program: 0.03794, jpeg: 0.03558, tiff: 0.03224, thank: 0.02771, graphic: 0.02757"
Topic 25,"homosexual: 0.05792, heterosexual: 0.04252, sexual: 0.0404, survey: 0.03012, male: 0.02816, partner: 0.02685, cramer: 0.02342, study: 0.02001, kinsey: 0.02, straight: 0.0196"
Topic 26,"phone: 0.06781, number: 0.0441, dialing: 0.03804, dial: 0.03438, tone: 0.02884, call: 0.02376, swedish: 0.02014, customer: 0.01824, wall: 0.01777, telephone: 0.01651"
Topic 27,"email: 0.04901, window: 0.04666, mail: 0.0462, thank: 0.04431, please: 0.04046, file: 0.03322, program: 0.02889, advance: 0.02753, group: 0.0208, response: 0.01896"
Topic 28,"algorithm: 0.05705, polygon: 0.04627, surface: 0.03687, intersection: 0.03299, line: 0.02531, plane: 0.0249, point: 0.02348, curve: 0.02342, code: 0.02272, parametric: 0.02012"
Topic 29,"serdar: 0.01229, armenian: 0.01205, turkish: 0.01175, turk: 0.00976, armenia: 0.00907, genocide: 0.00906, muslim: 0.00879, massacre: 0.0087, ottoman: 0.00776, soviet: 0.0076"
Topic 30,"bush: 0.05457, clinton: 0.05327, congres: 0.02238, senate: 0.01966, reagan: 0.01922, year: 0.0182, deficit: 0.01647, house: 0.01636, democrat: 0.01632, debt: 0.01625"
Topic 31,"motherboard: 0.0586, board: 0.03286, chip: 0.02973, thank: 0.01983, jumper: 0.01853, upgrade: 0.01707, slot: 0.01668, computer: 0.01643, chipset: 0.01618, port: 0.01535"
Topic 32,"bedroom: 0.03414, kitchen: 0.02863, area: 0.02727, room: 0.02569, parking: 0.02058, dryer: 0.02017, bath: 0.01936, road: 0.01887, ceiling: 0.01803, washer: 0.01763"
Topic 33,"galactic: 0.03002, oort: 0.02971, galaxy: 0.02967, distribution: 0.02839, gamma: 0.02838, distance: 0.02633, burst: 0.02471, cloud: 0.02457, energy: 0.02453, star: 0.02218"
Topic 34,"window: 0.061, widget: 0.0411, display: 0.03042, redraw: 0.02796, xlib: 0.02699, manager: 0.02588, user: 0.02498, event: 0.02116, application: 0.02076, size: 0.0205"
Topic 35,"heat: 0.04417, battery: 0.04035, temperature: 0.0358, concrete: 0.03428, cold: 0.0311, cooling: 0.03081, discharge: 0.03039, water: 0.02992, acid: 0.02482, floor: 0.02481"
Topic 36,"firearm: 0.00826, criminal: 0.00603, police: 0.0059, crime: 0.00581, weapon: 0.00558, kill: 0.00517, defense: 0.0051, assault: 0.00506, handgun: 0.00501, agent: 0.00494"
Topic 37,"kent: 0.25309, cheer: 0.21206, jesu: 0.03913, malcolm: 0.02961, cult: 0.02861, notion: 0.02849, label: 0.02789, secular: 0.02514, sandvik: 0.02376, religion: 0.0237"
Topic 38,"weapon: 0.03273, glock: 0.03224, shoot: 0.02919, revolver: 0.0263, firearm: 0.0229, bullet: 0.02218, trigger: 0.02182, shooting: 0.01854, lethal: 0.01739, automatic: 0.01705"
Topic 39,"window: 0.02718, callback: 0.02552, function: 0.02458, program: 0.02316, void: 0.02292, event: 0.02174, user: 0.01973, main: 0.01907, display: 0.01894, reil: 0.01865"
Topic 40,"card: 0.09559, ethernet: 0.08304, slot: 0.06012, socket: 0.04489, connector: 0.03821, asante: 0.03204, board: 0.02534, number: 0.02309, iisi: 0.02182, plug: 0.02176"
Topic 41,"morality: 0.09262, moral: 0.07117, animal: 0.05294, specie: 0.02972, objective: 0.02961, immoral: 0.02871, human: 0.02834, natural: 0.02677, omniscient: 0.02619, survival: 0.02063"
Topic 42,"encryption: 0.01117, encrypt: 0.01097, security: 0.01071, secure: 0.0107, cryptography: 0.01066, secret: 0.0102, algorithm: 0.00987, escrow: 0.00837, clipper: 0.00803, privacy: 0.00731"
Topic 43,"graphic: 0.04393, image: 0.02901, clipart: 0.02764, animation: 0.02569, thank: 0.02505, looking: 0.02449, drawing: 0.01935, clip: 0.01795, format: 0.01774, book: 0.01677"
Topic 44,"radar: 0.06907, detector: 0.05577, radio: 0.0182, approaching: 0.0157, signal: 0.01515, alarm: 0.01466, traffic: 0.01395, antenna: 0.0139, flashing: 0.01349, vehicle: 0.01318"
Topic 45,"modem: 0.1171, serial: 0.06457, port: 0.04205, internal: 0.0307, external: 0.02923, problem: 0.02413, dial: 0.02389, comm: 0.02389, connect: 0.02287, window: 0.02265"
Topic 46,"david: 0.28465, feustel: 0.0823, koresh: 0.08128, netcom: 0.08048, dave: 0.07657, davidian: 0.0565, savior: 0.04905, risen: 0.04791, kindl: 0.03634, drinker: 0.03634"
Topic 47,"suno: 0.06427, error: 0.05775, symbol: 0.0492, shar: 0.04748, library: 0.04484, patch: 0.04464, link: 0.04271, problem: 0.04168, build: 0.0407, solari: 0.03706"
Topic 48,"product: 0.01705, user: 0.01264, commercial: 0.01253, permission: 0.01141, software: 0.01111, deduct: 0.01086, program: 0.01067, development: 0.01032, make: 0.01026, market: 0.01013"
Topic 49,"gordon: 0.19559, chastity: 0.1954, cadre: 0.1954, pitt: 0.19395, skepticism: 0.19172, intellect: 0.19172, shameful: 0.19122, surrender: 0.17668, bank: 0.16245, soon: 0.12151"
Topic 50,"punishment: 0.03029, penalty: 0.02794, cruel: 0.02562, kill: 0.02523, death: 0.02467, killing: 0.02255, innocent: 0.02212, execution: 0.02114, people: 0.01698, life: 0.0166"
Topic 51,"comic: 0.02946, marvel: 0.02752, hulk: 0.02605, avenger: 0.02582, surfer: 0.0256, mutant: 0.02518, bagg: 0.0249, wolverine: 0.02374, silver: 0.0228, shatterstar: 0.02231"
Topic 52,"memory: 0.09856, swap: 0.04093, running: 0.03982, window: 0.03925, segment: 0.02836, file: 0.02776, virtual: 0.0264, permanent: 0.02491, manager: 0.02379, free: 0.02366"
Topic 53,"islamic: 0.06313, islam: 0.05289, muslim: 0.04013, rushdie: 0.02663, bcci: 0.02438, fatwa: 0.02333, khomeini: 0.02167, gregg: 0.01689, propaganda: 0.01666, religion: 0.01547"
Topic 54,"simm: 0.06946, slot: 0.0427, vram: 0.03905, memory: 0.03638, cache: 0.0341, card: 0.03269, dram: 0.03161, faster: 0.03112, performance: 0.02967, board: 0.02925"
Topic 55,"condition: 0.03443, strap: 0.03282, nikon: 0.03074, shipping: 0.02634, camera: 0.02417, sale: 0.02381, cover: 0.0228, frame: 0.02213, chair: 0.02208, drawer: 0.01984"
Topic 56,"file: 0.02054, application: 0.01955, code: 0.018, window: 0.01724, toolkit: 0.01718, motif: 0.01425, click: 0.0139, saving: 0.01309, edit: 0.01185, avail: 0.01124"
Topic 57,"russian: 0.07621, soviet: 0.02485, kaliningrad: 0.02418, moscow: 0.02228, larrison: 0.02195, mann: 0.01761, space: 0.01621, launch: 0.01579, industrial: 0.01529, military: 0.01397"
Topic 58,"modem: 0.13053, baud: 0.03676, internal: 0.0308, sportster: 0.03053, data: 0.02604, software: 0.02582, external: 0.02234, courier: 0.01925, midwest: 0.0189, port: 0.01875"
Topic 59,"pentium: 0.0457, clock: 0.04127, processor: 0.03892, performance: 0.03785, instruction: 0.03367, powerpc: 0.02877, memory: 0.02812, doubling: 0.02695, risc: 0.02647, intel: 0.02611"
Topic 60,"amiga: 0.13203, graphic: 0.0243, video: 0.0214, animation: 0.01726, file: 0.01606, format: 0.01589, commodore: 0.01546, software: 0.01481, ntsc: 0.0148, frame: 0.01475"
Topic 61,"article: 0.32833, quoting: 0.09483, buggy: 0.07941, read: 0.05986, virginia: 0.05775, azure: 0.05368, minerva: 0.05368, bertrand: 0.05368, oooh: 0.05103, amanda: 0.05103"
Topic 62,"medicine: 0.00575, medical: 0.00571, clinical: 0.00558, health: 0.00537, physician: 0.00519, treatment: 0.00473, prevention: 0.00462, disease: 0.00456, patient: 0.00451, cell: 0.00437"
Topic 63,"server: 0.04742, memory: 0.04685, image: 0.04142, display: 0.03639, extension: 0.02946, using: 0.0291, client: 0.02864, window: 0.02843, running: 0.02754, imaging: 0.02706"
Topic 64,"hotel: 0.05824, ticket: 0.05678, airfare: 0.05653, airline: 0.05585, voucher: 0.04597, trip: 0.04291, transfer: 0.04233, orlando: 0.04189, cancun: 0.04127, bahama: 0.03892"
Topic 65,"weapon: 0.03684, conceal: 0.02786, firearm: 0.02749, carry: 0.02288, state: 0.02276, police: 0.0223, criminal: 0.01992, carrying: 0.0186, knock: 0.01856, knocking: 0.01819"
Topic 66,"love: 0.0315, postage: 0.02677, sale: 0.0235, girl: 0.02209, freddie: 0.022, music: 0.02112, dance: 0.02099, kenny: 0.01991, shipping: 0.01981, bobby: 0.01849"
Topic 67,"post: 0.02353, game: 0.01642, sending: 0.01485, name: 0.01399, fart: 0.0138, posting: 0.01277, flame: 0.01267, joke: 0.01244, word: 0.01237, letter: 0.01226"
Topic 68,"question: 0.02163, mailing: 0.02161, message: 0.02139, mail: 0.02018, request: 0.01727, subscribe: 0.01725, bitnet: 0.01702, receive: 0.01615, tene: 0.01545, send: 0.01539"
Topic 69,"server: 0.05604, login: 0.04668, localhost: 0.04663, connection: 0.04358, running: 0.04339, host: 0.04254, display: 0.04021, terminal: 0.0368, connect: 0.03597, machine: 0.03504"
Topic 70,"chastity: 0.15241, cadre: 0.15241, intellect: 0.14954, skepticism: 0.14954, shameful: 0.14915, pitt: 0.14745, surrender: 0.13781, gordon: 0.13621, bank: 0.11732, soon: 0.09477"
Topic 71,"argument: 0.05378, hypocritical: 0.02742, repertoire: 0.02167, fact: 0.02167, agree: 0.02163, disagree: 0.02115, context: 0.02, post: 0.01997, conclusion: 0.0199, telepathy: 0.01968"
Topic 72,"part: 0.50358, mtct: 0.36598, fiji: 0.24398, nahf: 0.235, masc: 0.12833, nair: 0.12833, flax: 0.12833, usmc: 0.12833, mara: 0.12199, bony: 0.12199"
Topic 73,"health: 0.04138, insurance: 0.03723, canada: 0.03296, care: 0.02743, canadian: 0.025, private: 0.0217, income: 0.02139, american: 0.01791, doctor: 0.01509, newsmagazine: 0.01427"
Topic 74,"wate: 0.07566, newsgroup: 0.07397, convenience: 0.05732, propos: 0.05539, forum: 0.05386, concerning: 0.05078, graphic: 0.04944, aspect: 0.04698, discussing: 0.04647, awful: 0.04587"
Topic 75,"secretary: 0.00534, congres: 0.00499, president: 0.00463, meet: 0.0045, political: 0.0044, briefing: 0.00433, office: 0.00422, toward: 0.00422, taken: 0.00417, house: 0.00413"
Topic 76,"culture: 0.02623, indian: 0.01383, religion: 0.01381, humanism: 0.01328, cultural: 0.01293, mississippi: 0.0125, mean: 0.01207, hollywood: 0.01171, desire: 0.0115, country: 0.01121"
Topic 77,"cica: 0.16704, indiana: 0.10803, pkzip: 0.08036, winzip: 0.06963, program: 0.06832, directory: 0.05405, util: 0.05132, unzip: 0.04504, window: 0.0413, call: 0.03944"
Topic 78,"april: 0.16625, fool: 0.10465, virile: 0.07103, tatoo: 0.06642, joke: 0.06544, navy: 0.04776, relate: 0.04762, bobby: 0.04692, tallest: 0.0419, sirtf: 0.0419"
Topic 79,"isdn: 0.0386, speech: 0.0311, voice: 0.02846, compression: 0.02196, modem: 0.02132, quality: 0.0208, telephone: 0.02052, balk: 0.02006, analog: 0.01984, internet: 0.01967"
Topic 80,"sent: 0.03405, payment: 0.03217, return: 0.03062, number: 0.02956, seller: 0.02729, phone: 0.02532, order: 0.02377, shipping: 0.02129, check: 0.01981, send: 0.01894"
Topic 81,"market: 0.02245, government: 0.01881, libertarian: 0.01812, regulation: 0.01753, society: 0.01508, free: 0.01445, economy: 0.01403, circumscribe: 0.01287, economic: 0.01198, conundrum: 0.01179"
Topic 82,"shafer: 0.19534, dryden: 0.19221, insisting: 0.18668, mary: 0.14717, safety: 0.1359, ball: 0.12731, nasa: 0.12402, perfect: 0.10672, live: 0.09192, world: 0.0741"
Topic 83,"court: 0.06536, wiretap: 0.04856, police: 0.03562, warrant: 0.03302, permission: 0.02832, legal: 0.02672, amendment: 0.02649, encrypt: 0.02634, order: 0.02297, search: 0.02293"
Topic 84,"keyboard: 0.28735, mouse: 0.15859, cursor: 0.08089, ergonomic: 0.06965, startup: 0.05284, knut: 0.04563, hotkey: 0.04563, slowest: 0.04338, typist: 0.04178, cheer: 0.04033"
Topic 85,"children: 0.02762, christian: 0.02496, jesu: 0.02337, metaphor: 0.02286, relationship: 0.01899, christianity: 0.01717, love: 0.01705, religion: 0.01698, faith: 0.01596, hell: 0.0152"
Topic 86,"sumgait: 0.00858, deposition: 0.00807, yelena: 0.00807, bonner: 0.00796, aristide: 0.00768, pogrom: 0.00746, azerbaijani: 0.0072, shout: 0.00717, apartment: 0.0071, yerevan: 0.00691"
Topic 87,"protect: 0.00686, amendment: 0.00657, constitution: 0.00644, behind: 0.00621, court: 0.00618, militia: 0.00592, enforce: 0.0057, contrary: 0.00567, tyranny: 0.00561, government: 0.00559"
Topic 88,"attendee: 0.02454, lipman: 0.02366, consortium: 0.02283, tuesday: 0.02254, submission: 0.02072, carderock: 0.02033, basin: 0.02001, stocking: 0.02001, sponsoring: 0.02001, proceeding: 0.01982"
Topic 89,"queer: 0.02812, closet: 0.02559, watching: 0.02392, night: 0.02198, women: 0.02002, million: 0.01881, storie: 0.01851, march: 0.01698, interesting: 0.01654, show: 0.01652"
Topic 90,"mile: 0.00676, tire: 0.00675, driving: 0.00657, engine: 0.00638, honda: 0.00613, steering: 0.006, road: 0.00543, airbag: 0.00542, brake: 0.00539, drive: 0.00504"
Topic 91,"petrucci: 0.09371, chopin: 0.08934, mandell: 0.08032, holt: 0.0777, chemistry: 0.07695, graham: 0.07274, fortran: 0.07202, paperback: 0.0652, handbook: 0.05815, copyright: 0.05732"
Topic 92,"canada: 0.03574, wholesale: 0.0309, dealership: 0.02854, retail: 0.02601, price: 0.0245, blue: 0.02242, scrambling: 0.02191, acquaintance: 0.0206, call: 0.01931, book: 0.01912"
Topic 93,"driver: 0.05057, drunk: 0.04368, state: 0.03825, odometer: 0.03277, accident: 0.03277, license: 0.03145, moto: 0.03084, california: 0.0288, sticker: 0.02748, parking: 0.02737"
Topic 94,"plastic: 0.09286, solder: 0.07975, mask: 0.06541, blue: 0.05918, green: 0.05817, bakelite: 0.04746, phenolic: 0.04571, epoxy: 0.04325, board: 0.04184, light: 0.04145"
Topic 95,"breathing: 0.04281, flotation: 0.04148, pilot: 0.03677, dive: 0.03068, diving: 0.03039, astronaut: 0.02799, lung: 0.0275, pressure: 0.02746, velocity: 0.02625, sustain: 0.02601"
Topic 96,"monitor: 0.17214, font: 0.09016, window: 0.06869, small: 0.05754, trivial: 0.05752, viewer: 0.05606, mode: 0.05239, size: 0.05078, visual: 0.05076, sneaking: 0.04918"
Topic 97,"midi: 0.09488, soundblaster: 0.07806, card: 0.078, sound: 0.05889, mapper: 0.05882, driver: 0.05185, blaster: 0.04997, soundcard: 0.04399, media: 0.03834, audio: 0.03467"
Topic 98,"tape: 0.13182, scsi: 0.08339, backup: 0.07664, drive: 0.07266, munroe: 0.07119, doyle: 0.06488, acorn: 0.06022, exabyte: 0.05856, consultant: 0.05119, hudson: 0.05086"
Topic 99,"running: 0.02389, memory: 0.02259, machine: 0.01966, processor: 0.01876, raster: 0.01756, ultrix: 0.01727, risc: 0.01701, application: 0.01679, fastest: 0.01613, unix: 0.01578"
Topic 100,"warrant: 0.2859, batf: 0.20202, search: 0.13237, unseal: 0.1254, illegal: 0.10966, knock: 0.10267, arrest: 0.08327, helicopter: 0.06815, grenade: 0.06165, reno: 0.05925"
Topic 101,"graphic: 0.03101, seminar: 0.02959, research: 0.02753, contact: 0.02719, graduate: 0.02331, yang: 0.0231, chung: 0.02217, computer: 0.02202, sponsoring: 0.02144, unix: 0.02118"
Topic 102,"patent: 0.05712, copyright: 0.03459, unlike: 0.02863, algorithm: 0.02769, cant: 0.02184, copying: 0.02114, idea: 0.02104, clipper: 0.02057, prevent: 0.01948, expression: 0.01893"
Topic 103,"sperm: 0.15227, pregnancy: 0.11979, vagina: 0.10558, swimming: 0.08798, deposit: 0.07075, pool: 0.06382, intercourse: 0.0599, chlorination: 0.05763, implantation: 0.05479, insemination: 0.05121"
Topic 104,"satan: 0.24604, freewill: 0.16652, angel: 0.12513, satanic: 0.05768, tell: 0.04678, abolishment: 0.04006, christen: 0.04006, creepy: 0.04006, lavey: 0.04006, mansfield: 0.04006"
Topic 105,"bobbe: 0.29874, bronx: 0.29484, sank: 0.29299, manhattan: 0.28461, blew: 0.26434, queen: 0.26228, vice: 0.22123, stay: 0.16639, away: 0.12239, undying: 0.03618"
Topic 106,"churche: 0.01429, christ: 0.01386, church: 0.01378, catholic: 0.01204, bible: 0.01124, conservative: 0.01122, worship: 0.01108, christian: 0.01099, christianity: 0.0108, mary: 0.01023"
Topic 107,"sarcasm: 0.23134, jennifer: 0.17413, irony: 0.17384, humor: 0.13836, thrown: 0.11929, loop: 0.11824, possibility: 0.10177, aware: 0.09626, assume: 0.08936, private: 0.08672"
Topic 108,"casserole: 0.20171, truelove: 0.19935, leftover: 0.18649, pizza: 0.17972, bait: 0.17314, flaming: 0.15718, turkey: 0.14668, serv: 0.13751, wing: 0.12062, commercial: 0.10736"
Topic 109,"post: 0.03238, criticize: 0.02812, written: 0.02039, obnoxious: 0.01919, concurrence: 0.01919, uttering: 0.01919, chaney: 0.01919, something: 0.019, opportunity: 0.01861, conversation: 0.01851"
Topic 110,"book: 0.09181, bookstore: 0.0729, balloon: 0.05282, publish: 0.04518, kent: 0.03881, history: 0.03859, jule: 0.03785, manic: 0.03785, gloria: 0.03785, depressive: 0.03785"
Topic 111,"comet: 0.09657, orbit: 0.07353, jupiter: 0.06559, peri: 0.047, spacewatch: 0.047, eccentricity: 0.047, perihelion: 0.0435, equator: 0.04267, discrepancy: 0.03918, daylight: 0.03761"
Topic 112,"ring: 0.10701, name: 0.07166, rudman: 0.06789, sparkle: 0.06789, waste: 0.06647, hitherto: 0.06539, corollary: 0.06345, mistake: 0.0632, ornament: 0.06187, shown: 0.06055"
Topic 113,"encryption: 0.15189, code: 0.10355, decryption: 0.09296, unix: 0.09059, source: 0.08847, recipe: 0.0675, version: 0.06484, nifty: 0.06121, numerical: 0.06121, fortran: 0.0583"
Topic 114,"condition: 0.11523, pair: 0.10022, klipsch: 0.09895, forte: 0.08386, headphone: 0.0747, speaker: 0.0733, price: 0.07122, item: 0.0627, sale: 0.0626, retail: 0.06049"
Topic 115,"abortion: 0.10954, pregnancy: 0.08277, abstinence: 0.07762, teenage: 0.04803, condom: 0.04613, rate: 0.04309, birth: 0.03354, school: 0.03309, assume: 0.03071, fluctuate: 0.02986"
Topic 116,"disk: 0.05887, backup: 0.03121, install: 0.02945, reinstall: 0.02761, floppy: 0.02681, partition: 0.02573, hard: 0.02555, original: 0.02303, annoying: 0.02283, drive: 0.02152"
Topic 117,"icon: 0.15858, click: 0.08259, window: 0.07966, application: 0.07746, browse: 0.07463, select: 0.06181, manager: 0.05795, change: 0.05256, file: 0.05008, button: 0.0455"
Topic 118,"morality: 0.05908, objective: 0.05194, subjective: 0.03357, concept: 0.03258, relativist: 0.03213, moral: 0.0317, mental: 0.03134, relativism: 0.03022, objectivity: 0.02807, dragging: 0.02678"
